valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,70.10733,65.496,4.61133032226563,5.063144821166995,2.6919820311604004,7.040628927362938
0,66.50431,65.064,1.4403106079101633,5.063144821166995,2.6919820311604004,2.2136828475196166
0,65.24258,60.06,5.1825765991210915,5.063144821166995,2.6919820311604004,8.628998666535285
0,66.52236,57.504,9.018361755371096,5.063144821166995,2.6919820311604004,15.683016408199595
1,70.135765,65.064,5.071765075683601,6.923254379272462,1.2235609852706808,7.795040384365549
1,66.630585,60.06,6.570584716796873,6.923254379272462,1.2235609852706808,10.940034493501285
1,65.47077,57.504,7.9667717895507835,6.923254379272462,1.2235609852706808,13.854291509374624
1,66.619896,58.536,8.083895935058592,6.923254379272462,1.2235609852706808,13.810126990328332
2,69.58015,60.06,9.520146789550779,9.182504119873046,2.1569426926450164,15.851060255662302
2,66.02739,57.504,8.52338952636719,9.182504119873046,2.1569426926450164,14.822255019419849
2,64.87845,58.536,6.342448486328124,9.182504119873046,2.1569426926450164,10.835124515389031
2,65.98403,53.64,12.344031677246093,9.182504119873046,2.1569426926450164,23.012736161905465
3,66.46729,57.504,8.963292785644533,7.345280395507812,1.9205536382379902,15.587250948881007
3,62.670723,58.536,4.13472296142578,7.345280395507812,1.9205536382379902,7.063555694659321
3,61.25223,53.64,7.61223159790039,7.345280395507812,1.9205536382379902,14.191334075131227
3,62.346874,53.676,8.670874237060545,7.345280395507812,1.9205536382379902,16.15409910772141
4,63.05725,58.536,4.521250976562499,5.621135803222655,1.7514298046540018,7.7238809904375065
4,59.210308,53.64,5.570308074951171,5.621135803222655,1.7514298046540018,10.384616097970117
4,57.59262,53.676,3.916620849609373,5.621135803222655,1.7514298046540018,7.2967822669524045
4,58.540363,50.064,8.476363311767578,5.621135803222655,1.7514298046540018,16.931054873297334
5,61.248383,53.64,7.608382568359374,6.908949333190918,2.2795853085227007,14.184158404845961
5,57.59772,53.676,3.9217210998535137,6.908949333190918,2.2795853085227007,7.306284186328179
5,56.024445,50.064,5.960444580078125,6.908949333190918,2.2795853085227007,11.905649928248092
5,56.74125,46.596,10.14524908447266,6.908949333190918,2.2795853085227007,21.772789691116536
6,57.03547,53.676,3.3594690551757793,3.3994809188842776,1.1619710181231313,6.25879174151535
6,53.408943,50.064,3.344943176269531,3.3994809188842776,1.1619710181231313,6.681334244705839
6,51.684654,46.596,5.088654235839847,3.3994809188842776,1.1619710181231313,10.920796282599039
6,52.252857,50.448,1.8048572082519527,3.3994809188842776,1.1619710181231313,3.5776585954883298
7,54.40831,50.064,4.344309936523437,3.0449520111084,2.2180881486416255,8.677512656846112
7,51.056793,46.596,4.4607932128906285,3.0449520111084,2.2180881486416255,9.573339370097495
7,49.424408,50.448,-1.0235920410156254,3.0449520111084,2.2180881486416255,2.0290042043601835
7,49.739113,47.388,2.351112854003908,3.0449520111084,2.2180881486416255,4.9614097535323465
8,50.485806,46.596,3.889805511474613,2.205167396545411,2.6250153294271965,8.347938688888775
8,47.323494,50.448,-3.124506042480469,2.205167396545411,2.6250153294271965,6.193518162227381
8,45.71375,47.388,-1.6742510681152325,2.205167396545411,2.6250153294271965,3.533069697212865
8,45.840107,45.708,0.13210696411132972,2.205167396545411,2.6250153294271965,0.28902372475568766
9,46.128986,50.448,-4.319013641357422,3.9139259109497058,0.45717357011347937,8.561317874558798
9,43.216824,47.388,-4.171176422119139,3.9139259109497058,0.45717357011347937,8.802178657295388
9,41.68569,45.708,-4.022308166503905,3.9139259109497058,0.45717357011347937,8.80000911548067
9,41.616795,44.76,-3.1432054138183574,3.9139259109497058,0.45717357011347937,7.022353471444051
10,45.53796,47.388,-1.8500399475097637,2.008997581481932,0.802278628881372,3.904026225014273
10,43.131214,45.708,-2.5767858581542953,2.008997581481932,0.802278628881372,5.6374942201677944
10,41.920193,44.76,-2.8398072814941386,2.008997581481932,0.802278628881372,6.344520289307727
10,41.566643,42.336,-0.7693572387695298,2.008997581481932,0.802278628881372,1.817264830804823
11,43.223026,45.708,-2.484973724365233,2.442968338012694,0.9261671813721102,5.436627558338218
11,40.992924,44.76,-3.7670762634277324,2.442968338012694,0.9261671813721102,8.416166808372951
11,39.966587,42.336,-2.369412933349608,2.442968338012694,0.9261671813721102,5.596685878093368
11,39.51759,40.668,-1.1504104309082024,2.442968338012694,0.9261671813721102,2.8287853617296213
12,41.04597,44.76,-3.714029083251951,2.5972589874267573,1.0935230519430315,8.297652107354672
